title,description,duration_seconds,release_date,guest,comedian,comedian_sub,comic,comic_sub,phd,phd_sub,actor,actor_sub,writer,writer_sub,author,author_sub,ufc,ufc_sub,musician,musician_sub,artist,artist_sub,founder,founder_sub,youtuber,youtuber_sub,podcast,podcast_sub,ceo,ceo_sub,philanthropist,philanthropist_sub,singer/songwriter,singer/songwriter_sub,screenwriter,screenwriter_sub,scientist,scientist_sub,co-host,co-host_sub,journalist,journalist_sub,entrepreneur,entrepreneur_sub,astrophysicist,astrophysicist_sub,politician,politician_sub,pilot,pilot_sub
#1950 - Derek Wolfe,"Derek Wolfe is a 10 year veteran of the NFL, Super Bowl 50 champion, bowhunter, outdoorsman, and host of ""The Drive"" on Denver Sports radio. https://www.youtube.com/@WOLFEUNTAMED95",184.3,2023-03-03,Derek Wolfe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#1949 - Russell Brand,"Russell Brand is a comedian, actor, author, activist, and host of the podcast ""Stay Free with Russell Brand."" www.russellbrand.com",177.95,2023-03-02,Russell Brand,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#1948 - Tony Hinchcliffe & Brian Redban,"Tony Hinchcliffe is a stand-up comedian, writer, and actor. He's also the co-host, along with Brian Redban, of the podcast and live-streaming YouTube show ""Kill Tony.""  Brian Redban is a comedian, producer, and founder of the Deathsquad podcast network.",155.2,2023-03-01,Tony Hinchcliffe,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
#1947 - Chris Distefano,"Chris Distefano is a stand-up comedian, on-air personality, host of the ""Chrissy Chaos"" podcast, and co-host of ""Hey Babe!"" podcast with Sal Vulcano. His new comedy album, ""Chrissy New York Comedy Club"", is available now. www.chrisdcomedy.com",184.01,2023-02-28,Chris Distefano,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
#1946 - Protect Our Parks 7,"Shane Gillis, Mark Normand, and Ari Shaffir are stand-up comics, writers, and podcasters. Shane is the co-host of ""Matt and Shane's Secret Podcast"" with Matt McCusker. His special, ""Shane Gillis: Live in Austin,"" is available via YouTube, and season two of ""Gilly and Keeves,"" his sketch comedy series with John McKeever, is available now at www.gillyandkeeves.tv. www.shanemgillis.com Mark is the co-host of the podcasts ""Tuesdays with Stories"" with Joe List and ""We Might Be Drunk"" with Sam Morril. His latest special, ""Mark Normand: Out to Lunch,"" is available via YouTube.  www.marknormandcomedy.com  Ari is the host of ""The Skeptic Tank"" and ""You Be Trippin'"" podcasts. His latest special, ""Ari Shaffir: Jew,"" is available now via YouTube. www.arishaffir.com",216.6,2023-02-23,Protect Our Parks,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
#1945 - Eric Weinstein,Eric Weinstein is a mathematician and host of The Portal podcast.  www.ericweinstein.org,246.82,2023-02-22,Eric Weinstein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#1944 - Ryan Long,"Ryan Long is a stand-up comic, filmmaker, and host of ""The Boyscast"" podcast. www.ryanlongcomedy.com",204.71,2023-02-21,Ryan Long,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#1943 - Joel Turner,"Joel Turner is the world’s leader in target panic science, a master educator in shot control, and the founder of ShotIQ. www.ShotIQ.com",148.16,2023-02-17,Joel Turner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#1942 - Mark Greaney,"Mark Greaney is the New York Times bestselling author of the ""Gray Man"" novels. Look for book 12 in the series, ""Burner,"" on February 21, 2023. www.markgreaneybooks.com",167.78,2023-02-16,Mark Greaney,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#1941 - Bridget Phetasy,"Bridget Phetasy is a writer and stand-up comedian. She is the host of the podcast ""Walk-Ins Welcome"" and YouTube program ""Dumpster Fire,"" and co-host, along with her husband Jeren Montgomery, of the podcast ""Factory Settings."" www.phetasy.com",190.17,2023-02-15,Bridget Phetasy,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
#1940 - Matt Taibbi,"Matt Taibbi is a journalist and author. He writes and publishes TK News at taibbi.substack.com and hosts the ""America This Week podcast with Walter Kirn."" He's also been the lead reporter on the Twitter Files, which come out on Twitter at @mtaibbi. www.taibbi.substack.com",166.63,2023-02-13,Matt Taibbi,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Fight Companion - February 11, 2023","Joe is joined by Eddie Bravo, Bryan Callen & Brendan Schaub to watch the fights on February 11, 2023.",220.13,2023-02-12,Fight Companion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
